degree_name,course_rubric,course_number,course_name,other_component_name,other_component_hours
Mathematics B.S. with Mathematics 7-12 Certification,MATH,4322,Introduction to Abstract Algebra,Major Requirements,49
Literature B.A. with English Language Arts and Reading 7-12 Certification,ANTH,2346,General Anthropology,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 7-12 Certification,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 7-12 Certification,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 7-12 Certification,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 7-12 Certification,GEOG,1303,World Regional Geography,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 7-12 Certification,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Mathematical Science B.A. with Mathematics 7-12 Certification,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Mathematical Science B.A. with Mathematics 7-12 Certification,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Mathematical Science B.A. with Mathematics 7-12 Certification,COMM,1315,Public Speaking,University Core Requirements,42
Mathematical Science B.A. with Mathematics 7-12 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Mathematical Science B.A. with Mathematics 7-12 Certification,EDUC,4310,Theories of Educational Psychology,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,ARTS,2379,Arts and the Child,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,HIST,1301,United States History I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,HIST,1302,United States History II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,POLS,2305,Federal Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,POLS,2306,Texas Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,HUMN,1301,Humanities,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,LITR,2341,Literature and Experience,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,ARTS,2379,Arts and the Child,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,HIST,1301,United States History I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,HIST,1302,United States History II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,ARTS,2379,Arts and the Child,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,HIST,1301,United States History I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,HIST,1302,United States History II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,POLS,2305,Federal Government,University Core Requirements,42
Management B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Management B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Management B.S.,ACCT,2301,Principles of Accounting I - Financial,College Core Requirements,
Management B.S.,ACCT,2302,Principles of Accounting II-Managerial,College Core Requirements,
Management B.S.,BAPA,1301,Business Principles,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,ENSC,1302,Environmental Science II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,GEOL,1303,Physical Geology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,GEOL,1304,Historical Geology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,PHYS,1301,College Physics I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,PHYS,1302,College Physics II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,PHYS,2325,University Physics I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,PHYS,2326,University Physics II,University Core Requirements,42
Mathematical Science B.S.,CSCI,1318,Pascal Programming I,Major Requirements,39
Mathematical Science B.S.,CSCI,3311,Programming With Visual Basic,Major Requirements,39
Mathematical Science B.S.,WRIT,3315,Advanced Technical Writing,Major Requirements,39
Mathematical Science B.S.,MATH,3312,Number Theory,Elective Requirements,9
Mathematical Science B.S.,MATH,4313,Introduction to Topology,Elective Requirements,9
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,GEOL,1304,Historical Geology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,PHYS,1301,College Physics I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,PHYS,1302,College Physics II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,PHYS,2325,University Physics I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,PHYS,2326,University Physics II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,HUMN,1301,Humanities,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,LITR,2341,Literature and Experience,University Core Requirements,42
Interdisciplinary Studies B.S. with Science 4-8 Certification,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Science 4-8 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Interdisciplinary Studies B.S. with Science 4-8 Certification,BIOL,1106,Laboratory for Biology for Science Majors I,University Core Requirements,42
Interdisciplinary Studies B.S. with Science 4-8 Certification,BIOL,1107,Laboratory for Biology for Science Majors II,University Core Requirements,42
Interdisciplinary Studies B.S. with Science 4-8 Certification,EDUC,4310,Theories of Educational Psychology,College Core Requirements,
Legal Studies B.S.,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Legal Studies B.S.,ARTS,1303,World Art Survey I,University Core Requirements,42
Legal Studies B.S.,ARTS,1304,World Art Survey II,University Core Requirements,42
Legal Studies B.S.,ARTS,2379,Arts and the Child,University Core Requirements,42
Legal Studies B.S.,HIST,1301,United States History I,University Core Requirements,42
Legal Studies B.S.,HIST,1302,United States History II,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,ARTS,1303,World Art Survey I,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,ARTS,1304,World Art Survey II,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,ARTS,2379,Arts and the Child,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,HIST,1301,United States History I,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,HIST,1302,United States History II,University Core Requirements,42
Management Information Systems B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Management Information Systems B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Management Information Systems B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Management Information Systems B.S.,ACCT,2301,Principles of Accounting I - Financial,College Core Requirements,
Management Information Systems B.S.,ACCT,2302,Principles of Accounting II-Managerial,College Core Requirements,
Management Information Systems B.S.,BAPA,1301,Business Principles,College Core Requirements,
Marketing B.S.,COMM,1315,Public Speaking,University Core Requirements,42
Marketing B.S.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Marketing B.S.,ACCT,2301,Principles of Accounting I - Financial,College Core Requirements,
Marketing B.S.,ACCT,2302,Principles of Accounting II-Managerial,College Core Requirements,
Marketing B.S.,BAPA,1301,Business Principles,College Core Requirements,
Marketing B.S.,ECON,2302,Principles of Microeconomics,College Core Requirements,
Mathematics B.A. with Mathematics 4-8 Certification,MATH,2315,Calculus III,Major Requirements,49
Mathematics B.A. with Mathematics 4-8 Certification,MATH,3301,History of Mathematical Sciences,Major Requirements,49
Mathematics B.A. with Mathematics 4-8 Certification,MATH,3305,Euclidian and Non-Euclidian Geometry,Major Requirements,49
Mathematics B.A. with Mathematics 4-8 Certification,MATH,3312,Number Theory,Major Requirements,49
Mathematics B.A. with Mathematics 4-8 Certification,MATH,4315,Numerical Analysis and its Applications,Major Requirements,49
Literature B.A.,HIST,1301,United States History I,University Core Requirements,42
Literature B.A.,HIST,1302,United States History II,University Core Requirements,42
Literature B.A.,POLS,2305,Federal Government,University Core Requirements,42
Literature B.A.,POLS,2306,Texas Government,University Core Requirements,42
Literature B.A.,ANTH,2346,General Anthropology,University Core Requirements,42
Literature B.A.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Literature B.A.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Mathematical Science B.A.,POLS,2306,Texas Government,University Core Requirements,42
Mathematical Science B.A.,ANTH,2346,General Anthropology,University Core Requirements,42
Mathematical Science B.A.,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Mathematical Science B.A.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Mathematical Science B.A.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Mathematical Science B.A.,GEOG,1303,World Regional Geography,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,ARTS,1303,World Art Survey I,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,ARTS,1304,World Art Survey II,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,ARTS,2379,Arts and the Child,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,HIST,1301,United States History I,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,HIST,1302,United States History II,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,POLS,2305,Federal Government,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,POLS,2306,Texas Government,University Core Requirements,42
Pre-Engineering,MATH,2414,Calculus II,Specialization in Electrical Engineering Requirements,
Pre-Engineering,POLS,2305,Federal Government,Specialization in Electrical Engineering Requirements,
Pre-Engineering,PHYS,2326,University Physics II,Specialization in Electrical Engineering Requirements,
Pre-Engineering,PHYS,2126,Laboratory for University Physics II,Specialization in Electrical Engineering Requirements,
Pre-Engineering,MATH,2315,Calculus III,Specialization in Electrical Engineering Requirements,
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ACCT,5333,Fundamentals of Database Design and Development,Major Requirements,21
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ACCT,5334,Advanced Database Applications Development,Major Requirements,21
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ACCT,5335,Information Systems Audit and Security,Major Requirements,21
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ACCT,5336,Systems Analysis and Design,Major Requirements,21
Professional Accounting Integrated B.S./M.S. with a Concentration in Management Information Systems,ACCT,5337,ERP System Concepts and Practices,Major Requirements,21
Psychology B.S.,SOCI,4322,Theories of Society,Major Requirements,48
Psychology B.S.,PSYC,2301,Introduction to Psychology,Major Requirements,48
Psychology B.S.,PSYC,3311,Careers and Writing in Psychology,Major Requirements,48
Psychology B.S.,PSYC,3315,Psychological Thinking,Major Requirements,48
Psychology B.S.,PSYC,4370,Nonexperimental Methods and Statistics,Major Requirements,48
Sociology B.S.,SOCI,4385,Research Methods,Major Requirements,54
Sociology B.S.,SOCI,3312,Criminology,Major Requirements,54
Sociology B.S.,SOCI,3313,Urban and Rural Health,Major Requirements,54
Sociology B.S.,SOCI,3317,Religion and Immigration Studies in Houston,Major Requirements,54
Environmental Science B.S.,INDH,4313,Industrial Ventilation,SpecializationRequirements,44
Environmental Science B.S.,BIOL,2301,Anatomy & Physiology I,SpecializationRequirements,44
Environmental Science B.S.,BIOL,2101,Laboratory for Anatomy and Physiology I,SpecializationRequirements,44
Anthropology B.S.,WGST,4314,Latina Social Movements in the Americas,Major Requirements,42
Anthropology B.S.,ANTH,3358,Topics in Middle Eastern Societies,Major Requirements,42
Anthropology B.S.,ANTH,4330,Cultural Study Abroad,Major Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,MATH,4325,Theory of Models and Applications,Major Requirements,49
Mathematics B.S. with Mathematics 7-12 Certification,MATH,4341,Introduction to Analysis,Major Requirements,49
Mathematics B.S. with Mathematics 7-12 Certification,MATH,4363,Functions of a Complex Variable,Major Requirements,49
Mathematics B.S. with Mathematics 7-12 Certification,TCED,4363,Methods in Secondary Mathematics,PedagogyRequirements,15
Mathematics B.S. with Mathematics 7-12 Certification,TCED,4378,Pre-Service Internship I,PedagogyRequirements,15
Literature B.A. with English Language Arts and Reading 7-12 Certification,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 7-12 Certification,COMM,1315,Public Speaking,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 7-12 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 7-12 Certification,ANTH,3311,Contemporary Cultural Anthropology,College of Human Sciences and HumanitiesCore Requirements,9
Literature B.A. with English Language Arts and Reading 7-12 Certification,ANTH,4352,World Prehistory and Archaeology,College of Human Sciences and HumanitiesCore Requirements,9
Mathematical Science B.A. with Mathematics 7-12 Certification,INST,3313,Survey of Instructional Technologies,College Core Requirements,
Mathematical Science B.A. with Mathematics 7-12 Certification,SILC,4315,Theories of American Pluralism,College Core Requirements,
Mathematical Science B.A. with Mathematics 7-12 Certification,SPED,2301,Introduction to Special Populations,College Core Requirements,
Mathematical Science B.A. with Mathematics 7-12 Certification,SPED,4300,Survey of Exceptionalities,College Core Requirements,
Mathematical Science B.A. with Mathematics 7-12 Certification,TCED,1301,Exploring Teaching as a Profession,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,ANTH,2346,General Anthropology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,GEOG,1303,World Regional Geography,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,POLS,2305,Federal Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,POLS,2306,Texas Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,ANTH,2346,General Anthropology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and ESL Supplemental Certifications,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,POLS,2306,Texas Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,ANTH,2346,General Anthropology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Special Education EC-12 Certification,GEOG,1303,World Regional Geography,University Core Requirements,42
Management B.S.,ECON,2301,Principles of Macroeconomics,College Core Requirements,
Management B.S.,ISAM,1305,Business Computer Applications,College Core Requirements,
Management B.S.,LEGL,2301,Legal Environment of Business,College Core Requirements,
Management B.S.,MATH,1325,Calculus for Business and Social Sciences,College Core Requirements,
Management B.S.,DSCI,3321,Statistics I,College Core Requirements,
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,WRIT,1301,Composition I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects 4-8 and ESL Supplemental Certification,WRIT,1302,Composition II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,HUMN,1301,Humanities,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,LITR,2341,Literature and Experience,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,ARTS,2379,Arts and the Child,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Early Childhood Concentration,HIST,1301,United States History I,University Core Requirements,42
Mathematical Science B.S.,MATH,4315,Numerical Analysis and its Applications,Elective Requirements,9
Mathematical Science B.S.,MATH,4321,Predicate Logic,Elective Requirements,9
Mathematical Science B.S.,MATH,4322,Introduction to Abstract Algebra,Elective Requirements,9
Mathematical Science B.S.,MATH,4325,Theory of Models and Applications,Elective Requirements,9
Mathematical Science B.S.,MATH,4341,Introduction to Analysis,Elective Requirements,9
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,PHIL,1301,Introduction to Philosophy,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,WGST,1301,Gender Matters: Introduction to Women's and Gender Studies,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,ARTS,2379,Arts and the Child,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,HIST,1301,United States History I,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,HIST,1302,United States History II,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 Certification Reading Concentration,POLS,2305,Federal Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Science 4-8 Certification,INST,3313,Survey of Instructional Technologies,College Core Requirements,
Interdisciplinary Studies B.S. with Science 4-8 Certification,SILC,4315,Theories of American Pluralism,College Core Requirements,
Interdisciplinary Studies B.S. with Science 4-8 Certification,SPED,2301,Introduction to Special Populations,College Core Requirements,
Interdisciplinary Studies B.S. with Science 4-8 Certification,SPED,4300,Survey of Exceptionalities,College Core Requirements,
Legal Studies B.S.,POLS,2305,Federal Government,University Core Requirements,42
Legal Studies B.S.,POLS,2306,Texas Government,University Core Requirements,42
Legal Studies B.S.,ANTH,2346,General Anthropology,University Core Requirements,42
Legal Studies B.S.,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Legal Studies B.S.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,POLS,2305,Federal Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,POLS,2306,Texas Government,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Social Studies 4-8 Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Management Information Systems B.S.,ECON,2302,Principles of Microeconomics,College Core Requirements,
Management Information Systems B.S.,ISAM,1305,Business Computer Applications,College Core Requirements,
Management Information Systems B.S.,LEGL,2301,Legal Environment of Business,College Core Requirements,
Management Information Systems B.S.,MATH,1325,Calculus for Business and Social Sciences,College Core Requirements,
Management Information Systems B.S.,DSCI,3321,Statistics I,College Core Requirements,
Marketing B.S.,ISAM,1305,Business Computer Applications,College Core Requirements,
Marketing B.S.,LEGL,2301,Legal Environment of Business,College Core Requirements,
Marketing B.S.,MATH,1325,Calculus for Business and Social Sciences,College Core Requirements,
Marketing B.S.,DSCI,3321,Statistics I,College Core Requirements,
Marketing B.S.,DSCI,3331,Quantitative Methods for Management,College Core Requirements,
Mathematics B.A. with Mathematics 4-8 Certification,MATH,4316,Mathematic Software Applications,Major Requirements,49
Mathematics B.A. with Mathematics 4-8 Certification,MATH,4321,Predicate Logic,Major Requirements,49
Mathematics B.A. with Mathematics 4-8 Certification,MATH,4322,Introduction to Abstract Algebra,Major Requirements,49
Mathematics B.A. with Mathematics 4-8 Certification,MATH,4345,Introduction to Statistics,Major Requirements,49
Literature B.A.,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Literature B.A.,GEOG,1303,World Regional Geography,University Core Requirements,42
Literature B.A.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Literature B.A.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Literature B.A.,COMM,1315,Public Speaking,University Core Requirements,42
Mathematical Science B.A.,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Mathematical Science B.A.,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Mathematical Science B.A.,COMM,1315,Public Speaking,University Core Requirements,42
Mathematical Science B.A.,PSYC,1100,Learning Frameworks,University Core Requirements,42
Mathematical Science B.A.,MATH,2412,Pre-Calculus Mathematics,Major Requirements,36
Literature B.A. with English Language Arts and Reading 4-8 Certification,ANTH,2346,General Anthropology,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,CRIM,1301,Introduction to Criminal Justice,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,ECON,2301,Principles of Macroeconomics,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,ECON,2302,Principles of Microeconomics,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,GEOG,1303,World Regional Geography,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,PSYC,2301,Introduction to Psychology,University Core Requirements,42
Literature B.A. with English Language Arts and Reading 4-8 Certification,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Pre-Engineering,CENG,3312,Digital Circuits,Specialization in Electrical Engineering Requirements,
Pre-Engineering,CENG,3112,Laboratory for Digital Circuits,Specialization in Electrical Engineering Requirements,
Pre-Engineering,CSCI,1370,Software Development with Java,Specialization in Electrical Engineering Requirements,
Pre-Engineering,CSCI,1320,C Programming,Specialization in Electrical Engineering Requirements,
Pre-Engineering,POLS,2306,Texas Government,Specialization in Electrical Engineering Requirements,
Psychology B.S.,PSYC,4371,Experimental Methods and Statistics,Major Requirements,48
Psychology B.S.,PSYC,4392,Capstone in Psychology,Major Requirements,48
Psychology B.S.,PSYC,3331,Theories of Personality,Psychology Core Requirements,9
Psychology B.S.,PSYC,4311,Social Psychology,Psychology Core Requirements,9
Sociology B.S.,SOCI,3335,Deviance,Major Requirements,54
Sociology B.S.,SOCI,3351,Political Sociology,Major Requirements,54
Sociology B.S.,SOCI,3352,Urban Sociology,Major Requirements,54
Sociology B.S.,SOCI,4323,Religion in Society,Major Requirements,54
Environmental Science B.S.,BIOL,2302,Anatomy & Physiology II,SpecializationRequirements,44
Environmental Science B.S.,BIOL,2102,Laboratory for Anatomy and Physiology II,SpecializationRequirements,44
Environmental Science B.S.,INDH,3311,Industrial Health and Hygiene,SpecializationRequirements,44
Environmental Science B.S.,INDH,3332,Principles of Professional Safety,SpecializationRequirements,44
Anthropology B.S.,SOCI,4329,Egypt in Transition,Major Requirements,42
Anthropology B.S.,ANTH,4301,Studies in Cultural Diversity,Major Requirements,42
Anthropology B.S.,ANTH,4341,Gender and Sexuality in Global Perspectives,Major Requirements,42
Anthropology B.S.,ANTH,4351,"Families, Communities, and Globalization",Major Requirements,42
Mathematics B.S. with Mathematics 7-12 Certification,TCED,4978,Pre-Service Internship II/Student Teaching,PedagogyRequirements,15
Literature B.A. with English Language Arts and Reading 7-12 Certification,PSYC,3331,Theories of Personality,College of Human Sciences and HumanitiesCore Requirements,9
Literature B.A. with English Language Arts and Reading 7-12 Certification,PSYC,4311,Social Psychology,College of Human Sciences and HumanitiesCore Requirements,9
Literature B.A. with English Language Arts and Reading 7-12 Certification,SOCI,4312,"Social Structure: Class, Power, and Status",College of Human Sciences and HumanitiesCore Requirements,9
Literature B.A. with English Language Arts and Reading 7-12 Certification,SOCI,4322,Theories of Society,College of Human Sciences and HumanitiesCore Requirements,9
Literature B.A. with English Language Arts and Reading 7-12 Certification,WGST,1302,Perspectives in Women's and Gender Studies,College of Human Sciences and HumanitiesCore Requirements,9
Mathematical Science B.A. with Mathematics 7-12 Certification,TCED,4102,Secondary 4-8 and 7-12 Content Teacher Seminar,College Core Requirements,
Mathematical Science B.A. with Mathematics 7-12 Certification,MATH,2318,Linear Algebra,Major Requirements,49
Mathematical Science B.A. with Mathematics 7-12 Certification,MATH,2320,Differential Equations,Major Requirements,49
Mathematical Science B.A. with Mathematics 7-12 Certification,MATH,2414,Calculus II,Major Requirements,49
Mathematical Science B.A. with Mathematics 7-12 Certification,MATH,3300,Introduction to Modern Algebra and Number Theory,Major Requirements,49
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,SOCI,1301,Introduction to Sociology,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,COMM,1315,Public Speaking,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,PSYC,1100,Learning Frameworks,University Core Requirements,42
Interdisciplinary Studies B.S. with Core Subjects EC-6 and Bilingual Supplemental Certification,EDUC,4310,Theories of Educational Psychology,College Core Requirements,
